[Spectrum]
Version            = 1
IDData             = DLAB_2023-07-19_11-11-12_122_599
IDDevice           = SAM_80E0
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Air
IDDataTypeSub3     = 
DateTime           = 2023-07-19 11:10:12
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = 
MethodName         = 
Mission            = No Mission
MissionSub         = 1
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2023-07-17_10-22-22_926_969
IDDataCal = 
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
RAWDynamic = 65535
Temperature = +NAN
Unit1 = $05 $00 Pixel 
Unit2 = $04 $09 1/Intensity (m^2 nm)/mW
Unit3 = $04 $09 1/Intensity (m^2 nm)/mW
Unit4 = $f1 $00 Status 
[END] of [Attributes]
[DATA]
 0 6 0 0
 1 +NAN 0 0
 2 +NAN 0 0
 3 +NAN 0 0
 4 0.036846960504788 0 0
 5 0.0452793174025192 0 0
 6 0.0530093953453225 0 0
 7 0.0599947825094744 0 0
 8 0.0661504372721699 0 0
 9 0.0743263971114567 0 0
 10 0.0817884639503061 0 0
 11 0.0913566441512534 0 0
 12 0.102349030180656 0 0
 13 0.113354712343954 0 0
 14 0.127396397298492 0 0
 15 0.142567465687012 0 0
 16 0.156605846433239 0 0
 17 0.170864371926941 0 0
 18 0.180894211116275 0 0
 19 0.186666493687214 0 0
 20 0.189335913288926 0 0
 21 0.18764807022078 0 0
 22 0.184237233085239 0 0
 23 0.181820879513356 0 0
 24 0.178861993493298 0 0
 25 0.177628668873407 0 0
 26 0.178317834842466 0 0
 27 0.1806518250752 0 0
 28 0.184829070598183 0 0
 29 0.190566907611686 0 0
 30 0.196544714649847 0 0
 31 0.205042422712792 0 0
 32 0.2156250348304 0 0
 33 0.22881488347116 0 0
 34 0.243791051470216 0 0
 35 0.261223706074053 0 0
 36 0.278384051499492 0 0
 37 0.29585449755802 0 0
 38 0.313078581185004 0 0
 39 0.328715654270326 0 0
 40 0.342246953880247 0 0
 41 0.352781726601498 0 0
 42 0.358218950922146 0 0
 43 0.360163768935479 0 0
 44 0.358637436009692 0 0
 45 0.353829008612065 0 0
 46 0.346887346178372 0 0
 47 0.339501959537006 0 0
 48 0.330843219487048 0 0
 49 0.322789146683806 0 0
 50 0.316094064305358 0 0
 51 0.311290677343414 0 0
 52 0.307812429709124 0 0
 53 0.305354372152058 0 0
 54 0.302552789373207 0 0
 55 0.299127697990485 0 0
 56 0.295326101010833 0 0
 57 0.291918998835625 0 0
 58 0.289919532361104 0 0
 59 0.289852383880505 0 0
 60 0.291085820643119 0 0
 61 0.293886277353312 0 0
 62 0.298376561492873 0 0
 63 0.303861770801648 0 0
 64 0.310560095927137 0 0
 65 0.318511062359263 0 0
 66 0.327125967056273 0 0
 67 0.336253490656483 0 0
 68 0.345867504911857 0 0
 69 0.35470111966892 0 0
 70 0.36240281934888 0 0
 71 0.368461364124847 0 0
 72 0.372435495763675 0 0
 73 0.374390154774516 0 0
 74 0.374872096733888 0 0
 75 0.373956066450466 0 0
 76 0.371852704296847 0 0
 77 0.368939164826331 0 0
 78 0.365136788770071 0 0
 79 0.360830290779744 0 0
 80 0.356129444559316 0 0
 81 0.350441348736551 0 0
 82 0.344262478885097 0 0
 83 0.337679438056958 0 0
 84 0.330683086583614 0 0
 85 0.32329782361239 0 0
 86 0.315296548864802 0 0
 87 0.306407599937284 0 0
 88 0.297046321954255 0 0
 89 0.287383984322897 0 0
 90 0.278719922902056 0 0
 91 0.272506209975983 0 0
 92 0.268138928071886 0 0
 93 0.26496235548909 0 0
 94 0.262905521410575 0 0
 95 0.261536633073307 0 0
 96 0.260956579613074 0 0
 97 0.260219639244093 0 0
 98 0.258723515654981 0 0
 99 0.255789218859254 0 0
 100 0.251473473673854 0 0
 101 0.245987207797622 0 0
 102 0.240097494784709 0 0
 103 0.234655328127359 0 0
 104 0.229780996781699 0 0
 105 0.225775097980992 0 0
 106 0.222254840527259 0 0
 107 0.218464567117433 0 0
 108 0.214430923976418 0 0
 109 0.210492502921601 0 0
 110 0.207329909236682 0 0
 111 0.204549814101951 0 0
 112 0.201649354243586 0 0
 113 0.198633517747493 0 0
 114 0.195735358851427 0 0
 115 0.193278470724516 0 0
 116 0.191226387594461 0 0
 117 0.189844993813383 0 0
 118 0.18899004585457 0 0
 119 0.188321795355005 0 0
 120 0.187895795946702 0 0
 121 0.187203964813115 0 0
 122 0.185916690518805 0 0
 123 0.184310065199248 0 0
 124 0.182198423663597 0 0
 125 0.179950838169957 0 0
 126 0.177856671319008 0 0
 127 0.176030331676722 0 0
 128 0.174678653173677 0 0
 129 0.173716526834478 0 0
 130 0.173008592825721 0 0
 131 0.17255717121441 0 0
 132 0.172345605505651 0 0
 133 0.17197263279795 0 0
 134 0.171231240967381 0 0
 135 0.17018721286832 0 0
 136 0.168513315244963 0 0
 137 0.166586022737473 0 0
 138 0.16434081690311 0 0
 139 0.162066620514202 0 0
 140 0.1597321749678 0 0
 141 0.157401323720938 0 0
 142 0.155047127358787 0 0
 143 0.152589855312681 0 0
 144 0.150255339953969 0 0
 145 0.147426699399636 0 0
 146 0.144369457067737 0 0
 147 0.140861303288577 0 0
 148 0.13696371412251 0 0
 149 0.132894892632858 0 0
