[Spectrum]
Version            = 1
IDData             = DLAB_2022-04-08_10-13-47_618_113
IDDevice           = SAM_877D
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Air
IDDataTypeSub3     = 
DateTime           = 2022-04-08 10:12:39
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = 
MethodName         = 
Mission            = No Mission
MissionSub         = 1
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2022-04-07_09-42-08_769_372
IDDataCal = 
IntegrationTime = 1024
P31 = -1
P31e = 0
PathLength = +INF
RAWDynamic = 65535
Temperature = +NAN
Unit1 = $05 $00 Pixel 
Unit2 = $04 $09 1/Intensity (m^2 nm)/mW
Unit3 = $04 $09 1/Intensity (m^2 nm)/mW
Unit4 = $f1 $00 Status 
[END] of [Attributes]
[DATA]
 0 9 0 0
 1 +NAN 0 0
 2 +NAN 0 0
 3 +NAN 0 0
 4 +NAN 0 0
 5 +NAN 0 0
 6 +NAN 0 0
 7 +NAN 0 0
 8 +NAN 0 0
 9 +NAN 0 0
 10 +NAN 0 0
 11 +NAN 0 0
 12 +NAN 0 0
 13 +NAN 0 0
 14 +NAN 0 0
 15 +NAN 0 0
 16 +NAN 0 0
 17 +NAN 0 0
 18 +NAN 0 0
 19 +NAN 0 0
 20 +NAN 0 0
 21 +NAN 0 0
 22 +NAN 0 0
 23 +NAN 0 0
 24 +NAN 0 0
 25 +NAN 0 0
 26 +NAN 0 0
 27 +NAN 0 0
 28 +NAN 0 0
 29 +NAN 0 0
 30 +NAN 0 0
 31 +NAN 0 0
 32 +NAN 0 0
 33 +NAN 0 0
 34 +NAN 0 0
 35 +NAN 0 0
 36 +NAN 0 0
 37 +NAN 0 0
 38 +NAN 0 0
 39 +NAN 0 0
 40 +NAN 0 0
 41 +NAN 0 0
 42 +NAN 0 0
 43 0.107087655058561 0 0
 44 0.100514128382031 0 0
 45 0.0920291003667431 0 0
 46 0.0844427450627574 0 0
 47 0.0777188492683047 0 0
 48 0.0736825755837836 0 0
 49 0.0690786279342346 0 0
 50 0.0652078479512159 0 0
 51 0.0633753523587728 0 0
 52 0.0622924890729949 0 0
 53 0.0621454715004427 0 0
 54 0.0621510175226163 0 0
 55 0.0625027871517275 0 0
 56 0.0641052073745198 0 0
 57 0.0662976694474162 0 0
 58 0.0678980781378579 0 0
 59 0.0684807921571163 0 0
 60 0.0684435193203849 0 0
 61 0.0679347641962712 0 0
 62 0.0662000254636332 0 0
 63 0.0633276166995406 0 0
 64 0.0599267124940621 0 0
 65 0.0564920203476369 0 0
 66 0.0534945436761636 0 0
 67 0.0507095878410835 0 0
 68 0.0478399024111299 0 0
 69 0.0456789483731687 0 0
 70 0.0438836890018032 0 0
 71 0.0427467549324848 0 0
 72 0.0418813509619054 0 0
 73 0.0410989693088919 0 0
 74 0.0408741779505475 0 0
 75 0.0409400179969074 0 0
 76 0.0413622311589827 0 0
 77 0.0419283810046233 0 0
 78 0.0426438562819776 0 0
 79 0.0438096357045689 0 0
 80 0.0451878353840594 0 0
 81 0.0466979763545306 0 0
 82 0.0479429597721366 0 0
 83 0.0492413206306196 0 0
 84 0.0504174607758223 0 0
 85 0.0510924703761389 0 0
 86 0.0514722322674185 0 0
 87 0.051165098521116 0 0
 88 0.0504833935763023 0 0
 89 0.0495089916278913 0 0
 90 0.0482827199366726 0 0
 91 0.0469953286348808 0 0
 92 0.0456129549438976 0 0
 93 0.0442675788439243 0 0
 94 0.0430644623452533 0 0
 95 0.0420469901987327 0 0
 96 0.041127935322743 0 0
 97 0.0402897229248384 0 0
 98 0.0393266897610373 0 0
 99 0.0385660056369886 0 0
 100 0.0381716786834668 0 0
 101 0.0378352388472241 0 0
 102 0.0377737579789182 0 0
 103 0.0379892044049794 0 0
 104 0.0383517044434509 0 0
 105 0.0389249054485671 0 0
 106 0.03978431031911 0 0
 107 0.0407648805515944 0 0
 108 0.0419643297071354 0 0
 109 0.0433056284672214 0 0
 110 0.0446737994684482 0 0
 111 0.0461285804225437 0 0
 112 0.0478710569734714 0 0
 113 0.0498472765246605 0 0
 114 0.0520812746193047 0 0
 115 0.0544242045940226 0 0
 116 0.0560713601986209 0 0
 117 0.0572845112974019 0 0
 118 0.0584759058611153 0 0
 119 0.0593734279005282 0 0
 120 0.0598534505049413 0 0
 121 0.0600156564798846 0 0
 122 0.0598860154947396 0 0
 123 0.0595152396196909 0 0
 124 0.0589879819463458 0 0
 125 0.0583433320088165 0 0
 126 0.057702368359438 0 0
 127 0.0570151203116158 0 0
 128 0.0562801252651954 0 0
 129 0.0555415786912498 0 0
 130 0.0547280116465341 0 0
 131 0.0539088259618756 0 0
 132 0.0531410452458824 0 0
 133 0.0523263092091421 0 0
 134 0.0514888435360445 0 0
 135 0.0506471257732917 0 0
 136 0.0496988202499675 0 0
 137 0.0486482466157701 0 0
 138 0.0475967611610126 0 0
 139 0.0464345389261749 0 0
 140 0.0453867693129771 0 0
 141 0.0444519513270961 0 0
 142 0.0436917609337467 0 0
 143 0.043132387803367 0 0
 144 0.0427213544087404 0 0
 145 0.0423800577487078 0 0
 146 0.042151163128221 0 0
 147 0.0419803369396079 0 0
 148 0.0418442394177988 0 0
 149 +NAN 0 0
 150 +NAN 0 0
 151 +NAN 0 0
 152 +NAN 0 0
