Nom de l'instrument : SAM_80E0
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_80E0.dat
Date : 2023-10-10
Heure : 10:35:51
Comment : LIDAR_20231010

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			68.10685809338142
318			72.22446127037638
319			77.37798581353336
320			83.40349649581108
321			90.13705809016828
322			97.41473536956369
323			105.07259310695608
324			112.94712258594568
325			120.8855158606902
326			128.7461855048274
327			136.3878359986772
328			143.5740226486861
329			149.82828366894017
330			154.63689802566304
331			157.62593679136023
332			159.35844496512107
333			160.7825341471879
334			162.8167475537429
335			165.6860101483825
336			168.92912974731635
337			172.05619060556714
338			174.7302921495202
339			176.9788500906751
340			178.88233415772334
341			180.53466433990997
342			182.114883458069
343			183.83523628037216
344			185.90272921033088
345			188.41316519097327
346			191.35694050527474
347			194.71985553625447
348			198.38273068009997
349			201.98640662588303
350			205.13834209393727
351			207.50507259648762
352			209.11273828845793
353			210.12278791602733
354			210.69781587386385
355			211.0183865732184
356			211.2816304141802
357			211.68584141558307
358			212.54445645409473
359			214.42768015076592
360			217.94043916405343
361			223.53917112467784
362			230.795896671665
363			238.9565340873803
364			247.26603524341292
365			254.9605334702657
366			261.26814354844015
367			265.4189263231011
368			267.0956800407619
369			266.9808615767156
370			265.89058202851055
371			264.5969471023843
372			263.61144372399764
373			263.3499719609941
374			264.19389234254106
375			265.8545406107955
376			267.4342848148968
377			268.0149502897215
378			267.00910217983494
379			264.56257599261266
380			260.91970624653857
381			256.43025136267005
382			252.07425438825848
383			249.0649759148151
384			248.56041367844284
385			250.61240589297884
386			254.2552358638919
387			258.48617587066354
388			262.4961826258888
389			265.9130895206731
390			268.4245840616582
391			269.9221050210797
392			271.54441042382024
393			274.90207094389785
394			281.5598449437843
395			292.11565336783593
396			306.25662972345947
397			323.6329544179816
398			343.51518238169393
399			364.2918121039462
400			384.2263638985078
401			401.73246471165106
402			416.17741317767695
403			427.3018110505939
404			434.8841540316191
405			439.51734694282254
406			442.5885686100576
407			445.516460760886
408			449.232559597018
409			453.4888029821154
410			457.86207131412823
411			461.9624933383638
412			465.6222388400609
413			468.7644300011524
414			471.31195077482545
415			473.17546446583043
416			474.25316958260515
417			474.44300581780107
418			473.77222336903054
419			472.5980858780105
420			471.32974337617776
421			470.2738490833967
422			469.00873017733915
423			466.7973579953147
424			462.9340972588427
425			457.5747439146091
426			451.80265472834293
427			446.7467891682902
428			443.34019622405657
429			441.98345451671565
430			442.98753768965634
431			446.5779930312896
432			452.326868490487
433			459.5044160604688
434			467.3851269616013
435			475.4184010294119
436			483.254184720468
437			490.55359663914015
438			497.1497098508607
439			503.3782670554093
440			509.66637557100506
441			516.3974490580841
442			523.5909429508723
443			531.0856198800763
444			538.7172544593876
445			546.2634763352489
446			553.4303579289344
447			559.9195992137023
448			565.512924423688
449			570.2460003624712
450			574.2047493800795
451			577.4749220517491
452			580.1406933816417
453			582.2853916892536
454			583.9932559336936
455			585.3862461487481
456			586.6365153286862
457			587.9196870050806
458			589.3390234470602
459			590.7463934538382
460			591.9391079889688
461			592.7244410062888
462			593.0114266237601
463			592.7686378932533
464			591.9683296740706
465			590.7302489948064
466			589.3877782292216
467			588.2910312728912
468			587.718032277952
469			587.6705380439818
470			588.084135705881
471			588.8958589769604
472			590.0593828192013
473			591.5390358617403
474			593.2980787382663
475			595.2203646174701
476			597.0637650335809
477			598.5749682063829
478			599.4942557227224
479			599.5346562649016
480			598.4019532196236
481			595.8372855897424
482			592.0453257594894
483			587.5567906568521
484			582.9091408089671
485			578.6362055760557
486			575.2654681077559
487			573.3237721582803
488			573.1904153647481
489			574.5442879274807
490			576.8566624936437
491			579.6052898159721
492			582.3664184208654
493			584.7926764929192
494			586.5386893451872
495			587.2590822907237
496			586.6084806425822
497			584.2415097138172
498			nan
499			nan
500			nan
