Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 10:12:54
InclX : -26.86
InclY : -18
Pressure : 0
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			34.032732092903814
318			35.20130090607768
319			37.45965878200763
320			40.60367294646487
321			44.42921062522058
322			48.73213904404594
323			53.308325428712145
324			57.953420698231824
325			62.452826821628435
326			66.57745740223424
327			70.0971353554552
328			72.87006882333357
329			75.06696266123588
330			76.92755186307876
331			78.67189019300204
332			80.32629164524816
333			81.80693062512393
334			83.03096133072117
335			84.01104091363723
336			84.88874013060975
337			85.8147431440253
338			86.88673719847735
339			88.02334200178898
340			89.10539536536933
341			90.02461760522905
342			90.77517884058436
343			91.40746705034486
344			91.97315086174787
345			92.5517960452835
346			93.25956383357769
347			94.2150837324885
348			95.47754014832444
349			96.91038581222234
350			98.33684686943243
351			99.58483529865238
352			100.52539865708897
353			101.05283252000234
354			101.06616803026094
355			100.63893137757002
356			100.07083966937036
357			99.67666901720031
358			99.73546189362892
359			100.40946763395942
360			101.83711241257673
361			104.12734108682724
362			107.11815560176908
363			110.50172710517003
364			113.96857510448493
365			117.19968245408431
366			119.8636218043783
367			121.6281642926322
368			122.29778606756334
369			122.12831691824886
370			121.46860729672876
371			120.65635329562707
372			119.92487461609107
373			119.4504922164693
374			119.40349114218789
375			119.73178323764436
376			120.08838188487734
377			120.10598589838663
378			119.50268738305734
379			118.28615904300649
380			116.52539879431728
381			114.317832351286
382			112.03690327759806
383			110.21127837762111
384			109.36285084076287
385			109.63929546752124
386			110.67529741252268
387			112.06841848005523
388			113.46792332814981
389			114.70603239385711
390			115.65541516070833
391			116.23321529854796
392			116.81297122616259
393			118.03622828784583
394			120.5415355650931
395			124.65146994031784
396			130.2347666336041
397			137.12503530503324
398			145.0583891435359
399			153.40548633145397
400			161.45137281881856
401			168.51452900276155
402			174.28274902451923
403			178.6732112677957
404			181.6108403513432
405			183.2675576730879
406			184.19182959351903
407			184.96378813506035
408			186.03715587579487
409			187.35658435516396
410			188.73859321774682
411			190.00644240996573
412			191.0650241415085
413			191.87349521364027
414			192.39219322597353
415			192.59557685833087
416			192.48123682929392
417			192.0489066077949
418			191.31536811702694
419			190.372141635306
420			189.33122219190153
421			188.29083379645272
422			187.16280772536498
423			185.72492845267945
424			183.75444152950539
425			181.2455570814156
426			178.57893727437715
427			176.17513031047855
428			174.40417074513834
429			173.3920115944863
430			173.19098103405256
431			173.84511834186992
432			175.27076076237321
433			177.28390477728365
434			179.69779209011523
435			182.31900916328533
436			184.94110475996274
437			187.35611391188237
438			189.4072346233476
439			191.21345792842817
440			192.98629057886643
441			194.92844571461336
442			197.0831752524965
443			199.3555962364871
444			201.64630172345014
445			203.86435242125182
446			205.93725767172782
447			207.79495567225632
448			209.37561690671683
449			210.66751070258434
450			211.67775302127623
451			212.41395591431484
452			212.89366982169287
453			213.14401582233165
454			213.19255160945409
455			213.0831046492189
456			212.89935569281312
457			212.7309754064932
458			212.65086756003845
459			212.61533524887074
460			212.53115273539535
461			212.30648738434576
462			211.89117272988625
463			211.27999394402994
464			210.47000818596345
465			209.48883913312338
466			208.4491841805106
467			207.4784237574689
468			206.692510700102
469			206.11542724631676
470			205.72679878867172
471			205.50576831220388
472			205.42484686135472
473			205.4484709940787
474			205.5405854197701
475			205.65540717562635
476			205.716079560437
477			205.63955448072008
478			205.34501741862138
479			204.77274390010146
480			203.87460989902675
481			202.604336278875
482			200.99323699008144
483			199.17999046858765
484			197.3111515476487
485			195.53512063135503
486			194.0071259618856
487			192.8839743953853
488			192.3051497102284
489			192.21529389777524
490			192.43638144869146
491			192.78900975507318
492			193.12780632630142
493			193.36128067012706
494			193.4027125848818
495			193.1653818688974
496			192.56256832050562
497			191.50755173803816
498			nan
499			nan
500			nan
