Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 10:12:56
InclX : -28.44
InclY : -0.75
Pressure : 0
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			34.73303430324206
318			35.90449992121187
319			38.169673954173795
320			41.33068634859702
321			45.18966705095075
322			49.5487460077042
323			54.21005316532657
324			58.975167784360615
325			63.61957677133845
326			67.88188173556145
327			71.49789985939967
328			74.30444174505664
329			76.49539250782422
330			78.34351458253137
331			80.09943568231257
332			81.7958918572061
333			83.34174940031471
334			84.64658741453175
335			85.71087889541755
336			86.65778895389487
337			87.61915703455666
338			88.68129440347711
339			89.7766803847891
340			90.80533692592624
341			91.67730250371875
342			92.39691295604243
343			93.02024844479173
344			93.60441811349833
345			94.22625660015792
346			94.98847443906251
347			95.9955241949816
348			97.29570210781327
349			98.7524015134002
350			100.19101468033747
351			101.44201124350639
352			102.38260068343399
353			102.91518302666384
354			102.94669967888547
355			102.55034562100668
356			102.01482366316668
357			101.64318528320554
358			101.70799721966517
359			102.3821887701761
360			103.81836544585275
361			106.1385608217857
362			109.18384241684092
363			112.64405215167731
364			116.2071003892754
365			119.5424679156115
366			122.29565280412096
367			124.11057843156017
368			124.77819485074271
369			124.57488439500821
370			123.8770734175518
371			123.04756380360472
372			122.32166712283379
373			121.86507395491573
374			121.83741792719466
375			122.18031156749048
376			122.5462404462642
377			122.56777328473845
378			121.96216786173144
379			120.73387440334076
380			118.94816260268337
381			116.69995844935355
382			114.37213380596522
383			112.5094916988238
384			111.64986878768906
385			111.94511082294821
386			113.01793578955328
387			114.45277055576975
388			115.88894291128344
389			117.16005311084251
390			118.14265242179097
391			118.75735249718963
392			119.37691331128076
393			120.63960815044244
394			123.1809143546479
395			127.33177389092013
396			132.9857141679782
397			140.0024082780116
398			148.13186049894992
399			156.71299338684236
400			164.9884286584065
401			172.23711815535657
402			178.13931284799162
403			182.6245143724278
404			185.63020677010036
405			187.33731048305282
406			188.29786314222514
407			189.09511159023208
408			190.1863916185577
409			191.5219750891688
410			192.92450715346777
411			194.22255703548387
412			195.31644081591583
413			196.15416789815552
414			196.6849211881412
415			196.87979112159297
416			196.74575531994813
417			196.29311568057932
418			195.54699307208077
419			194.59747293501104
420			193.55243790963408
421			192.5059961879702
422			191.36581776620477
423			189.9054931431275
424			187.89812834154213
425			185.33876966070673
426			182.6177780400391
427			180.1663151713629
428			178.36370249093548
429			177.33876973208325
430			177.14478822353695
431			177.82653458883152
432			179.2979130000268
433			181.36999573818426
434			183.8510325767982
435			186.54253556004662
436			189.23281743742143
437			191.70865846507408
438			193.80982829366692
439			195.66173489634403
440			197.48560460112773
441			199.49321842114438
442			201.72512506244883
443			204.07354153952303
444			206.42586074663208
445			208.6850185627552
446			210.78781466637662
447			212.67550707567403
448			214.29563459368902
449			215.633958704185
450			216.69061984301615
451			217.46642312516684
452			217.97591239120504
453			218.24686183411322
454			218.30763323224005
455			218.20368213012816
456			218.02233575295318
457			217.85721460411455
458			217.78495712408642
459			217.76410476433085
460			217.7030345490388
461			217.5112513003672
462			217.13296356145497
463			216.5498200605818
464			215.74537903091644
465			214.7418120090682
466			213.66876032078798
467			212.67441370665992
468			211.89245581291348
469			211.33982355291332
470			210.97714761959955
471			210.76494325576166
472			210.67208027582467
473			210.67760030965866
474			210.7611551940204
475			210.8874104726633
476			210.97315999516084
477			210.92565925321406
478			210.6547546396477
479			210.09475655805852
480			209.19343168956544
481			207.90053380637687
482			206.248941621947
483			204.3865526858088
484			202.46970244732995
485			200.65483757272057
486			199.0988161838645
487			197.95859153227
488			197.37367416024873
489			197.28738726539092
490			197.51953941521808
491			197.88855413800596
492			198.2472198874425
493			198.50273723808834
494			198.56712398798388
495			198.35239793516962
496			197.77057687768598
497			196.73367861357352
498			nan
499			nan
500			nan
