Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 10:16:58
InclX : -8.69
InclY : 4.5
Pressure : 0.0490922014770547
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			37.9448735391308
318			38.307744390982
319			40.13133946635202
320			43.10679683155271
321			46.92525455289592
322			51.27785069669349
323			55.85572332925729
324			60.35206686635666
325			64.55750875307123
326			68.40041204257267
327			71.81956269407709
328			74.78630937977758
329			77.38713020208397
330			79.73393521254413
331			81.93008306057371
332			83.99475337323167
333			85.89927064218438
334			87.61604733531439
335			89.18709806022129
336			90.74838910272031
337			92.44252437771848
338			94.3460809651187
339			96.31254254246589
340			98.14832176611081
341			99.68395821243242
342			100.9771265061625
343			102.21013837117992
344			103.56463882222945
345			105.14478807468811
346			106.95310181296112
347			108.98519789443161
348			111.2177325234786
349			113.56492789167523
350			115.92817481224876
351			118.20238138280952
352			120.22277887045614
353			121.79243557888093
354			122.7207023357077
355			123.07205651458152
356			123.24168577937854
357			123.64679577626707
358			124.65408353317792
359			126.46516185619788
360			129.24797010043739
361			133.13460876008543
362			137.9278075166734
363			143.25301734822892
364			148.73299960847442
365			153.9523122383809
366			158.4457984477623
367			161.7450128808768
368			163.57576686341395
369			164.30524148064274
370			164.43279940429917
371			164.4391953940091
372			164.63106155057756
373			165.21994360034137
374			166.40896317901726
375			168.09729573206192
376			169.78104086785746
377			170.92853311543755
378			171.13504477047988
379			170.4263118613991
380			168.9192308041628
381			166.77280420776063
382			164.5548620112758
383			163.06314502077714
384			163.08462194570913
385			164.81945071749712
386			167.66337168112355
387			170.95391342862723
388			174.13049704424336
389			176.9931005048461
390			179.42141603622443
391			181.35917246739817
392			183.40724318420308
393			186.5523940322243
394			191.77674398541987
395			199.59106377313202
396			209.82911054093213
397			222.27224292515749
398			236.5228246756717
399			251.5122765159544
400			266.0148426930204
401			278.86673634911955
402			289.5886731890327
403			298.1265199017103
404			304.43852213003555
405			308.8271695267081
406			312.11974946941206
407			315.1876823584338
408			318.7163293585397
409			322.64176135188507
410			326.7114547486849
411			330.6793510358065
412			334.37769070107606
413			337.69076305637435
414			340.5044835798548
415			342.75285507530185
416			344.44865320691633
417			345.61195046975934
418			346.28729225501314
419			346.62651016134765
420			346.8108271003062
421			346.99632803366
422			346.9988549639904
423			346.389559664195
424			344.7388385155744
425			342.0337345369456
426			339.003411637552
427			336.4536286402304
428			335.09768238493297
429			335.20209414508815
430			336.8986196564889
431			340.3012350350239
432			345.24992258231674
433			351.3693763424151
434			358.27846539214397
435			365.59246844729915
436			372.91963066221473
437			379.8673805653101
438			386.1460149810305
439			392.02034032549886
440			397.9411751590671
441			404.3391463150667
442			411.27907625154864
443			418.50890574285546
444			425.7663481230147
445			432.8372654402077
446			439.61242227147363
447			445.99639413991173
448			451.89832777659666
449			457.25518870066
450			462.01440755333243
451			466.1268081472705
452			469.61579839564286
453			472.5746844873806
454			475.09968111826083
455			477.3111994065613
456			479.38892031571174
457			481.5214330167939
458			483.8581997974801
459			486.2765860193805
460			488.53837758206913
461			490.40979211544646
462			491.78554025576386
463			492.6989575996775
464			493.19033025042575
465			493.35129716819876
466			493.4164242377609
467			493.64494537299475
468			494.27452400591125
469			495.369221824093
470			496.9093734775602
471			498.87349669779
472			501.196997942521
473			503.76279505138314
474			506.4506267353039
475			509.12962862290385
476			511.63506622472613
477			513.7954564849028
478			515.4385195589579
479			516.3844521022285
480			516.4493125153972
481			515.4546184918361
482			513.4694524314008
483			510.9054486078745
484			508.1993709998689
485			505.7729007496624
486			503.9919188305943
487			503.20940507147776
488			503.7395684695061
489			505.4605420417933
490			507.97591630915775
491			510.8857452739447
492			513.8373487300527
493			516.5528853349115
494			518.7611393934135
495			520.1908952104512
496			520.5709370909169
497			519.6300493397032
498			nan
499			nan
500			nan
