Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 10:34:12
InclX : 0.79
InclY : 6
Pressure : 0.0402709894552943
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			57.58478515372069
318			58.73668495112869
319			61.673100147096804
320			66.0967775303715
321			71.71046388969926
322			78.21690601382649
323			85.31885069149968
324			92.71749195749103
325			100.04045195297277
326			106.81134836010376
327			112.54594149324285
328			116.94486563951088
329			120.36239949093724
330			123.29721098241171
331			126.20507687845006
332			129.11955817894457
333			131.8341894257074
334			134.14466047700878
335			136.05564151115905
336			137.85389247930664
337			139.84611333740435
338			142.20978705139208
339			144.68579443987667
340			146.92289656931948
341			148.61347195542268
342			149.86052141589764
343			150.9923688656114
344			152.33575552956273
345			154.0623447454364
346			156.14036873605713
347			158.52425874838113
348			161.1493517090301
349			163.88811370525087
350			166.60008966976773
351			169.13807915167212
352			171.29278687134865
353			172.82145140015393
354			173.48942702087172
355			173.38860736470318
356			173.0341658993506
357			172.96946006201244
358			173.68461446505094
359			175.49576560214018
360			178.68356032221632
361			183.46940948861706
362			189.53032595052832
363			196.25030881569316
364			203.01186932325132
365			209.2498076250981
366			214.46696829777378
367			218.17080054859554
368			220.07371484629275
369			220.5648343162018
370			220.17274758105202
371			219.41849499315921
372			218.7524843209092
373			218.58655169375976
374			219.3200753162019
375			220.86082933578615
376			222.4646510667995
377			223.34246930132755
378			222.90252369999706
379			221.2221626940341
380			218.52043356221955
381			215.06252565098632
382			211.5616416978928
383			208.98293224240038
384			208.2783207869195
385			209.69407836602286
386			212.50914672124946
387			215.93246609736246
388			219.28525664383963
389			222.28605231294222
390			224.74122776118392
391			226.53934245747035
392			228.412337614766
393			231.5874102498716
394			237.28645921993515
395			246.15925346251515
396			258.0337921691947
397			272.6744721667938
398			289.60437978986494
399			307.4420750193333
400			324.5942216548651
401			339.55252297767294
402			351.7480203484004
403			361.19518684993585
404			367.9237871620848
405			372.3386430744482
406			375.4163484695233
407			378.18158057601397
408			381.44573796162217
409			385.1613119340536
410			389.06460901268315
411			392.89558632602217
412			396.43841380338193
413			399.50665158674076
414			401.91563216381513
415			403.56761484389045
416			404.5072555925851
417			404.7924007600089
418			404.5070073008079
419			403.8494978921188
420			403.04965336923954
421			402.3055877896966
422			401.3868063491463
423			399.754574504486
424			396.8690628278943
425			392.7023717266366
426			388.13843862006826
427			384.15531238304095
428			381.61130882237234
429			380.7861945116321
430			381.78522223198627
431			384.695836473126
432			389.3311723048171
433			395.2888285548454
434			402.1604196434684
435			409.5148951849679
436			416.8768041596667
437			423.7655404485081
438			429.8214249490273
439			435.3366333399062
440			440.8220082217105
441			446.7666675126908
442			453.265909142769
443			460.0738805543041
444			466.9336298997353
445			473.6231486031404
446			479.9965596660624
447			485.91800919550496
448			491.2620109301357
449			495.96617242309304
450			499.99183642657437
451			503.30372473394465
452			505.9383230960824
453			508.00122574432845
454			509.6009196538104
455			510.8755887004582
456			512.0361601879534
457			513.3044946957115
458			514.855326778232
459			516.5356662800513
460			518.0533143959733
461			519.1214636074386
462			519.6094858020779
463			519.555247360832
464			519.0050651728667
465			518.069493980693
466			517.0378773881425
467			516.230416507877
468			515.9364707256019
469			516.1971816249065
470			516.9339768930149
471			518.0674082901803
472			519.5145093328863
473			521.1880300234078
474			523.0004528751741
475			524.8400762827276
476			526.5179457306941
477			527.8297141859691
478			528.5739601047867
479			528.5768852293627
480			527.6798853191871
481			525.729818379471
482			522.812215743504
483			519.3428577406901
484			515.7617518527245
485			512.4937621675301
486			509.9077285669601
487			508.3595379903729
488			508.16570900700543
489			509.1999633755118
490			511.05724909198585
491			513.3289495966744
492			515.6561256585051
493			517.7584952464534
494			519.3627400226001
495			520.1955416490254
496			519.9835817878098
497			518.4535421010339
498			nan
499			nan
500			nan
