Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 11:45:24
InclX : 4.74
InclY : -3.75
Pressure : 0.0633542242542855
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			40.241275329292925
318			41.281071837186765
319			43.47943209077338
320			46.64214983076569
321			50.57501879787658
322			55.083832732818955
323			59.97438537630574
324			65.05148813069609
325			70.07340768229193
326			74.73261306320133
327			78.71660281105737
328			81.83646662154375
329			84.34026575399388
330			86.57258794720484
331			88.84201693532127
332			91.10271715776499
333			93.10736837452272
334			94.61255145551172
335			95.63905098139881
336			96.56428398864377
337			97.79087802540937
338			99.5668011291166
339			101.61745325625093
340			103.55797644910963
341			105.04312152738032
342			106.10052327427539
343			106.9624311983398
344			107.86144950828984
345			108.96057206552534
346			110.33147790374458
347			112.0396404818621
348			114.09531473815865
349			116.326940564325
350			118.52559139830477
351			120.48946876738802
352			122.08239203634639
353			123.20354545256379
354			123.75671886878962
355			123.81062475712693
356			123.64775815430264
357			123.5648574597044
358			123.86599568280015
359			124.8792185418726
360			126.93746164611004
361			130.31569555758816
362			134.75617316314745
363			139.7144203684571
364			144.64549342117684
365			149.09410900325625
366			152.72166039868466
367			155.19739295575144
368			156.34402769817362
369			156.49101034158156
370			156.07221883071935
371			155.50710798558032
372			155.08016891742696
373			155.00219061377229
374			155.4764003205638
375			156.42838495909965
376			157.41554092929672
377			157.96989971646812
378			157.71962946216627
379			156.61891116441498
380			154.69096638396834
381			152.01037261186562
382			149.15034438885166
383			146.9645131162146
384			146.29540084557775
385			147.35910423497344
386			149.51299746821448
387			152.05231375688447
388			154.39024951929935
389			156.3574259157572
390			157.87675106726888
391			158.92663113495794
392			160.05499397744603
393			162.1442054798874
394			166.0719977072535
395			172.27771528325357
396			180.57103197553863
397			190.71288749324228
398			202.32786857462912
399			214.52945755306402
400			226.31140440564772
401			236.71344351532622
402			245.28324866783825
403			251.88397959275525
404			256.3902834620702
405			259.06436380723915
406			260.7592512763834
407			262.37766230178903
408			264.6122670270898
409			267.30984561606414
410			270.10426986069814
411			272.647527397152
412			274.8110080891083
413			276.61194820694493
414			278.06985135317746
415			279.178748693613
416			279.8909444592594
417			280.15487766175886
418			279.9566050865529
419			279.44709527554545
420			278.8224947403363
421			278.2553486314212
422			277.59875072863247
423			276.4760571283348
424			274.50942983001556
425			271.6684837798329
426			268.54170868962456
427			265.78146884990434
428			263.96622754300796
429			263.3173589670304
430			263.94852484421205
431			265.9578114148092
432			269.2032450541295
433			273.3542271855731
434			278.0752731277094
435			283.05490308096086
436			288.02866310485194
437			292.73755915790997
438			296.9901982581375
439			300.9595896478842
440			304.94098254538056
441			309.2168113086898
442			313.83729422355776
443			318.6514900900805
444			323.5018886965088
445			328.2469469278021
446			332.7799094893762
447			336.9986010783505
448			340.8085730417058
449			344.16239844060146
450			347.030339387897
451			349.38547762806337
452			351.2608604795302
453			352.7472819324538
454			353.93789985759423
455			354.9326971713146
456			355.8483749389528
457			356.8041469495136
458			357.89290071131285
459			359.02444500454123
460			360.03082168562037
461			360.7471114375636
462			361.09635877719273
463			361.0965081954602
464			360.77027662914713
465			360.1864645429319
466			359.5421335598179
467			359.05648213950104
468			358.92739655896685
469			359.1812401724323
470			359.76165189926115
471			360.61203109543095
472			361.6856905809427
473			362.948012965951
474			364.36509898163774
475			365.86803425105387
476			367.2760533512491
477			368.3861047187164
478			369.00447350221367
479			369.0256046908466
480			368.3924350475797
481			367.0513349428733
482			365.08052913953264
483			362.74068750663406
484			360.3058642244302
485			358.0472927297929
486			356.2257708920577
487			355.099683850141
488			354.89966924012685
489			355.54427390750345
490			356.7555601660828
491			358.253036829404
492			359.78861005158444
493			361.1654827083365
494			362.19139908577426
495			362.67410347001163
496			362.42134014716254
497			361.24085340334113
498			nan
499			nan
500			nan
