Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 11:45:35
InclX : 0
InclY : -9
Pressure : 0.121062311251764
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			23.940412424802307
318			24.58086065650356
319			25.831895077463233
320			27.617295717816955
321			29.860842607700334
322			32.486315777249
323			35.417495256598556
324			38.57629300515486
325			41.79610889139059
326			44.785218205855955
327			47.24243706917762
328			48.988849020420986
329			50.27782891998282
330			51.45824424796793
331			52.84792552389057
332			54.45917898492391
333			56.130622632290866
334			57.701123337218384
335			59.10514139075062
336			60.406172804021985
337			61.67684064153637
338			62.96958516478769
339			64.26865238981928
340			65.54389986246869
341			66.76804197498711
342			67.94068797182929
343			69.07620526174465
344			70.1901760213592
345			71.34042230008745
346			72.64017639674613
347			74.2064128900329
348			76.08791333281434
349			78.10892377743514
350			80.04754395583258
351			81.6973643811484
352			82.99457641145504
353			83.95222645422842
354			84.586110489901
355			84.9895786818693
356			85.35651156465958
357			85.88748344700606
358			86.77037683329861
359			88.15159186873622
360			90.16906723458753
361			92.93434996968057
362			96.31643931711251
363			100.05378695136635
364			103.88297231697082
365			107.51667275335026
366			110.63646139630494
367			112.92185726002045
368			114.18928785142974
369			114.70720614413612
370			114.83722423316304
371			114.92389568591894
372			115.1521497032337
373			115.61974646154094
374			116.41952740101539
375			117.47992468359368
376			118.51134040677259
377			119.20915771636932
378			119.33474934866035
379			118.87326797698802
380			117.85725671490613
381			116.353028473214
382			114.75478180267848
383			113.64110721176633
384			113.58303183376111
385			114.72830272427741
386			116.64442207768609
387			118.85690276609093
388			120.96723362705458
389			122.84575213880589
390			124.42223457522557
391			125.66941678092977
392			127.00088634231221
393			129.0891105112146
394			132.60330623679354
395			137.88993308889692
396			144.83186318891944
397			153.27608860000723
398			162.94771186936495
399			173.1149458401313
400			182.9389714451421
401			191.6222751036193
402			198.823599735252
403			204.48507346648498
404			208.55767087139213
405			211.25598890269237
406			213.1965150925262
407			215.0295340822456
408			217.25999119361387
409			219.8075270762303
410			222.44446267178787
411			224.952813289874
412			227.2320033971368
413			229.2595045423518
414			231.0140969135386
415			232.4676002488684
416			233.58043222708972
417			234.3119543395965
418			234.65432730983957
419			234.74349971533135
420			234.7548111597473
421			234.8421998578384
422			234.86993047939544
423			234.49394512842133
424			233.36906464836642
425			231.4617047772329
426			229.29328652553747
427			227.4425134590255
428			226.4196889262487
429			226.40460696984104
430			227.47736669018124
431			229.70604561318473
432			232.97348950847532
433			237.0169999034951
434			241.5700682200841
435			246.37971929531813
436			251.21949009334463
437			255.86599574719372
438			260.1517710413703
439			264.21078457724985
440			268.27812196384986
441			272.579544336727
442			277.1716854202138
443			281.96467063406345
444			286.86368728316955
445			291.75622092853195
446			296.4911900015325
447			300.91243537677167
448			304.88322559480986
449			308.38505924058154
450			311.44391174134677
451			314.0862339194355
452			316.3469728375958
453			318.26925741316325
454			319.8966184364569
455			321.2961572026574
456			322.5927116485202
457			323.91979747925035
458			325.38401762702426
459			326.9048176995709
460			328.32214390273793
461			329.4785249884087
462			330.2925410170811
463			330.76482016957294
464			330.9001394178782
465			330.76047667099465
466			330.5670133271514
467			330.5684080168748
468			330.9854987601817
469			331.8152200711641
470			332.9465192008103
471			334.26905383884167
472			335.719958899221
473			337.29417352380835
474			338.99012038837077
475			340.7670289272478
476			342.458931044803
477			343.87491323943254
478			344.8322794953234
479			345.22592558859577
480			344.993426179688
481			344.07566752135375
482			342.5426138012376
483			340.6428325673241
484			338.6379938094932
485			336.78481207356816
486			335.3216688405943
487			334.482706939247
488			334.47774711310825
489			335.2430467940754
490			336.54263481647183
491			338.1380746491728
492			339.8048868206062
493			341.3406909384887
494			342.545063090121
495			343.21757936280386
496			343.1578158438382
497			342.16534862052487
498			nan
499			nan
500			nan
