Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 11:45:55
InclX : 1.58
InclY : -3
Pressure : 0.231893798444147
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			11.042168426506054
318			10.811097771801688
319			11.000183114599
320			11.53589185981628
321			12.344691412371807
322			13.353049177183859
323			14.487432559170724
324			15.674544574816371
325			16.852251882320058
326			17.974202553956584
327			18.995239708072038
328			19.88707157588061
329			20.681035045349493
330			21.421638901178568
331			22.152137110930468
332			22.903431366106176
333			23.699401183004507
334			24.5631923441829
335			25.49024854229201
336			26.438620110419162
337			27.363713643371025
338			28.23463184777718
339			29.06675425370502
340			29.885224451090185
341			30.713529618011044
342			31.559563181380916
343			32.42266172088011
344			33.30235472656713
345			34.20933890542489
346			35.16896011544133
347			36.20755511577875
348			37.340119149549665
349			38.54430386128172
350			39.79008607498882
351			41.04280588597243
352			42.225119846116456
353			43.23668011459125
354			43.98009515905824
355			44.480977448544344
356			44.924384596556976
357			45.50598628048268
358			46.383538284914586
359			47.59087723555168
360			49.13656304978359
361			51.02340654190817
362			53.20138239503233
363			55.59202706860823
364			58.11492637538837
365			60.62424589459377
366			62.88901877648087
367			64.67259338939934
368			65.82831294706286
369			66.50665315772393
370			66.91932654963222
371			67.27212645340587
372			67.71545758735752
373			68.3694775878484
374			69.34992629012777
375			70.60505002665687
376			71.86097494545535
377			72.82852815799541
378			73.29735692709006
379			73.3243986803165
380			73.02319555583712
381			72.51760939980812
382			72.03170058890218
383			71.84587781441286
384			72.23677558622009
385			73.28730212713756
386			74.81479993059928
387			76.61739232069999
388			78.50248781877814
389			80.31035155605116
390			81.88851281547478
391			83.12371028436539
392			84.30505012975695
393			85.95791921957459
394			88.60569597610592
395			92.52438822485448
396			97.63469695362704
397			103.82982366923504
398			110.91312393079076
399			118.35117545282571
400			125.53166168779387
401			131.8758136787185
402			137.17542598479227
403			141.45245365286806
404			144.73454042242673
405			147.1775566371164
406			149.13285325384308
407			150.96822023050797
408			152.98112140409194
409			155.18580608114934
410			157.5252391861317
411			159.93977483792133
412			162.33814752470875
413			164.60807276158874
414			166.63763034950588
415			168.36693326582744
416			169.82133112958363
417			171.03406913899332
418			172.04676035035803
419			172.93770149460673
420			173.79523888297837
421			174.69365782980822
422			175.51692985300562
423			176.01215978359764
424			175.92607184790984
425			175.24222136066075
426			174.3660014299722
427			173.7463433930509
428			173.77681372560468
429			174.58345633255075
430			176.2116195172926
431			178.69946202455031
432			181.97443117690537
433			185.87698375947093
434			190.24509281581174
435			194.89903933226506
436			199.6244453372322
437			204.2029088090815
438			208.47076511148325
439			212.55941044167696
440			216.69922016543944
441			221.1109409051072
442			225.84074453619442
443			230.7835758209157
444			235.82937610502765
445			240.86769583184432
446			245.78723377801495
447			250.47657659398484
448			254.83576963844325
449			258.83459199861545
450			262.46905582342686
451			265.7360350614384
452			268.6499215792457
453			271.24197694709744
454			273.54423396267174
455			275.6179531975387
456			277.5959895109248
457			279.62195832300415
458			281.80939096207715
459			284.0626073854137
460			286.1970601820797
461			288.03228669552
462			289.50455094074715
463			290.67604775721196
464			291.61524984207443
465			292.4095603369147
466			293.1990702056143
467			294.13296390328196
468			295.34639826375934
469			296.8616341950263
470			298.64648360481584
471			300.6682121529821
472			302.8874945853496
473			305.25698111171107
474			307.728828879914
475			310.233191315352
476			312.62993391618534
477			314.76491742441186
478			316.4882168744572
479			317.6896998248246
480			318.28112146529304
481			318.17758594111103
482			317.43466172731206
483			316.30227585702613
484			315.0446135829258
485			313.9184851513781
486			313.15341637837713
487			312.9726248484859
488			313.5752052862771
489			314.88892989438665
490			316.67075302288265
491			318.6754150550203
492			320.68620135768606
493			322.5315943433298
494			324.0440778172091
495			325.05613558458157
496			325.4002514507048
497			324.90890922083645
498			nan
499			nan
500			nan
