Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 11:47:43
InclX : 0
InclY : 0.75
Pressure : 1.38386834488938
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			0.20333871255853161
318			0.12498974927522091
319			0.08258945387266806
320			0.06758229905806563
321			0.07141275753860624
322			0.08552530202148242
323			0.10136440521388683
324			0.1104879381596184
325			0.10982676111601275
326			0.10390722779716052
327			0.09783025591533603
328			0.09507514774678101
329			0.09338778706192878
330			0.08924755255469231
331			0.07960761596625239
332			0.06608511348503196
333			0.05294860969384959
334			0.04445067922671009
335			0.04286723764429972
336			0.04780602912703655
337			0.058685838977315295
338			0.07382415170969768
339			0.08781734450774142
340			0.09447666904169008
341			0.08852197071951835
342			0.07322675543768355
343			0.056558227568953755
344			0.046400944772004286
345			0.04543474646339942
346			0.04951192460684586
347			0.05402203810433269
348			0.05569957361042908
349			0.05570738889847576
350			0.056118456320819944
351			0.05871407278259262
352			0.06259050822549884
353			0.06539693120819014
354			0.06482788434458447
355			0.06087610685865013
356			0.056513397894896726
357			0.05490968934485447
358			0.05796795684966397
359			0.06345020973609546
360			0.06827379377298974
361			0.06974942511699381
362			0.06880302199803236
363			0.06830632878430631
364			0.07108722682679319
365			0.07752882595732763
366			0.08483281450474636
367			0.08998795119160648
368			0.0911287639132605
369			0.09017272225579137
370			0.08981693224233431
371			0.0925036723211918
372			0.09829068394323466
373			0.10593354042449024
374			0.11418292422947349
375			0.12212767691841553
376			0.1293050870626906
377			0.1352834075548745
378			0.14000535634704986
379			0.14468351481773667
380			0.15079938651773048
381			0.159585157616062
382			0.16985228345295222
383			0.1790508810171369
384			0.18467925917588307
385			0.18702420819150137
386			0.19019505117277388
387			0.19857764648849396
388			0.21471388726882504
389			0.2346206090833381
390			0.252872045589981
391			0.26468095783325435
392			0.2718126842162567
393			0.2798804078337591
394			0.2944761062129285
395			0.31773007997736613
396			0.34680050497220805
397			0.37846075033835525
398			0.4101144230651663
399			0.44152750874239693
400			0.47301940857019636
401			0.5048509169376514
402			0.5366354629354653
403			0.5675843909744714
404			0.5969078384183356
405			0.6240930843382038
406			0.6490499085123836
407			0.6717236210432891
408			0.6926847988812717
409			0.7150220685209031
410			0.7424578431681725
411			0.7783411607690498
412			0.8214990864830124
413			0.86775272928792
414			0.9129003213147027
415			0.954934475319654
416			0.9954424651559691
417			1.0363445427340883
418			1.0793681582018748
419			1.1253955421711954
420			1.175077375342604
421			1.2289186496188156
422			1.285452595782843
423			1.3417944264979116
424			1.3950553510610755
425			1.4447948668588497
426			1.494933302671469
427			1.549841072309932
428			1.6132516493631988
429			1.685820817328969
430			1.7672760041929083
431			1.8574370594689893
432			1.957553301478268
433			2.069997241229781
434			2.1971533110684116
435			2.3391186632094434
436			2.4915096399329553
437			2.6494223427373775
438			2.809403002980287
439			2.9758147494224345
440			3.1556429158666583
441			3.355556712498736
442			3.5765020956207234
443			3.814467195851006
444			4.065280523203792
445			4.325599158075038
446			4.593885403075044
447			4.86883922740709
448			5.14906779538458
449			5.432613492913139
450			5.717306242473172
451			6.001000873182768
452			6.2820962502111675
453			6.559515143848154
454			6.83220669578234
455			7.100844890007228
456			7.370328762229006
457			7.646192369856682
458			7.932883738608282
459			8.227298391702881
460			8.523123752259028
461			8.814237550577273
462			9.099865723119033
463			9.385004130237602
464			9.674934942208052
465			9.9747884695688
466			10.289272361950612
467			10.62302132113622
468			10.980266597459515
469			11.361992417116129
470			11.767616986830614
471			12.196516743626306
472			12.646998954125316
473			13.116069154056236
474			13.600653467825623
475			14.09576832362487
476			14.590329882343307
477			15.072038836446955
478			15.52912300690165
479			15.954787508935665
480			16.344975187642138
481			16.69577550953181
482			17.008596995834445
483			17.292208070519642
484			17.55591710913129
485			17.810357501217325
486			18.071064632451343
487			18.354707242790383
488			18.676285901905757
489			19.032038388940546
490			19.406389900863132
491			19.78361828347496
492			20.150341091613083
493			20.4968804867542
494			20.813886607263296
495			21.09200959150534
496			21.32189957784532
497			21.494206704648203
498			nan
499			nan
500			nan
