Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 12:02:34
InclX : -24.49
InclY : 3
Pressure : 0.0554911284514311
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			34.00230277623901
318			36.508240555910454
319			39.04430020104102
320			41.72214689112991
321			44.65344580567635
322			47.94986212417953
323			51.72306102613868
324			56.07852896161382
325			60.828994588761844
326			65.37333129738904
327			69.07911443669587
328			71.53446937102088
329			73.1073028543904
330			74.33777438805575
331			75.72189664331091
332			77.32110595782342
333			78.94978532150408
334			80.42197683917573
335			81.65820347799607
336			82.7227202190362
337			83.68995091588467
338			84.6269736541882
339			85.57604642390172
340			86.57419036244193
341			87.64688392806885
342			88.71094077701358
343			89.62354631437469
344			90.2464284418987
345			90.64623680202027
346			91.15843730033886
347			92.13669065675984
348			93.77668255513854
349			95.75394279304668
350			97.63709922990174
351			99.03075793699037
352			99.87072347997496
353			100.27130060563523
354			100.3488669026785
355			100.23305099606748
356			100.07065829661573
357			100.00964410658614
358			100.22008271998911
359			100.94434295537482
360			102.43954008071631
361			104.92216942438338
362			108.23541583072938
363			112.02153559771696
364			115.9204488366832
365			119.55657370240641
366			122.53415539789899
367			124.4561267282461
368			125.10432668504262
369			124.85128188505773
370			124.19125531668669
371			123.58798818896722
372			123.2196156019708
373			123.10830645578437
374			123.2722843148888
375			123.63341149676303
376			123.98576161305108
377			124.1146026602616
378			123.82352044631814
379			122.97821904138944
380			121.4575574563041
381			119.19442681069101
382			116.6463394543271
383			114.56583723473592
384			113.69671498510763
385			114.2531318680625
386			115.72320678967954
387			117.54251831232553
388			119.23246745515827
389			120.61814668380136
390			121.59179053230409
391			122.09544418807407
392			122.58231049014975
393			123.80575741088992
394			126.51495691191131
395			131.06379290236842
396			137.2383835596533
397			144.78090465756756
398			153.35678440408765
399			162.34377103433212
400			171.05222028852018
401			178.81751350344888
402			185.25146239153227
403			190.13757217326037
404			193.26862292431795
405			194.8218379222791
406			195.56052157317274
407			196.29726495188567
408			197.64923976183798
409			199.44663266018205
410			201.32154815530848
411			202.92693217189156
412			204.168142445848
413			205.11832605640555
414			205.85289046568832
415			206.39357869902162
416			206.67422493810662
417			206.6205202559689
418			206.19365198779008
419			205.51041877555846
420			204.73024935055395
421			203.99511737035246
422			203.2107336871317
423			202.112897627916
424			200.43625974779957
425			198.1484841005715
426			195.6322727351994
427			193.3131641169126
428			191.5828864838142
429			190.66979732521685
430			190.7529749208155
431			191.9932393742857
432			194.2697575815515
433			197.24038987911652
434			200.5576037289567
435			203.9444598897173
436			207.2623122573735
437			210.38857113977733
438			213.23536584273944
439			215.90197776970732
440			218.55046913712204
441			221.33670990550354
442			224.30431229573344
443			227.3996441435804
444			230.56576863156553
445			233.7288502915086
446			236.77823624018308
447			239.59842639631324
448			242.084334428469
449			244.19424847896715
450			245.91029747011598
451			247.21753023081487
452			248.16287890654638
453			248.8528690950376
454			249.3963721195544
455			249.87764776491258
456			250.3206691321031
457			250.7403482844724
458			251.14848625281047
459			251.53524926539532
460			251.88161366779715
461			252.16687893626727
462			252.32683769468807
463			252.2503451042885
464			251.82404485097803
465			251.02593074183915
466			250.08824518186952
467			249.28711182402026
468			248.86853822876844
469			248.83615414509418
470			249.07669201662952
471			249.47744383985534
472			249.97002446756514
473			250.54001249049847
474			251.17624532154989
475			251.8504863511667
476			252.47995830514805
477			252.9710167698085
478			253.2275655838495
479			253.13035850144377
480			252.54741571622992
481			251.35042188400962
482			249.5818828251153
483			247.52066725202005
484			245.46298309495265
485			243.66818621505016
486			242.25929527296287
487			241.3278074131663
488			240.95450653888724
489			241.0996790818711
490			241.64774928899428
491			242.48151898156104
492			243.45582198766346
493			244.38120867459844
494			245.06430889850276
495			245.31175251551335
496			244.93016938176703
497			243.72618935340077
498			nan
499			nan
500			nan
