Nom de l'instrument : SAM_8172
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8172.dat
Date : 2023-10-10
Heure : 12:04:06
InclX : -6.32
InclY : -3
Pressure : 0.482882058957554
Comment : 

l_onde		data
280			nan
281			nan
282			nan
283			nan
284			nan
285			nan
286			nan
287			nan
288			nan
289			nan
290			nan
291			nan
292			nan
293			nan
294			nan
295			nan
296			nan
297			nan
298			nan
299			nan
300			nan
301			nan
302			nan
303			nan
304			nan
305			nan
306			nan
307			nan
308			nan
309			nan
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			1.0301092718968656
318			0.822804401319549
319			0.724831843834546
320			0.7072976459389945
321			0.7413078541300319
322			0.7979685149047951
323			0.8483856747604221
324			0.8641860169698501
325			0.8416648034135931
326			0.8119898817814276
327			0.8089667474594529
328			0.8540808261380805
329			0.9252584394090836
330			0.9908037564932337
331			1.0222657052038455
332			1.0231342449982634
333			1.015057569429581
334			1.0196447197083316
335			1.0479535035331586
336			1.0967992627860337
337			1.1619893271072108
338			1.2376055056632926
339			1.3118993685479279
340			1.371892349490043
341			1.4068051984407524
342			1.426563413238132
343			1.4524539250785624
344			1.5054526026773696
345			1.589525149100016
346			1.686323338443483
347			1.7759873454731832
348			1.846171597894593
349			1.9092722990476751
350			1.982770558237023
351			2.081589508702569
352			2.197104759300663
353			2.308000927114712
354			2.3932985703234837
355			2.449775096550554
356			2.4972254038573363
357			2.556976597824476
358			2.6458673987883237
359			2.766066523999635
360			2.916750341566379
361			3.096407251915057
362			3.2972030082534873
363			3.507900297523243
364			3.7172903097146928
365			3.916558371628867
366			4.100005339788454
367			4.262141357924461
368			4.399844153008982
369			4.5178084098810425
370			4.622339830857126
371			4.72029465206361
372			4.82368070375435
373			4.947319042282732
374			5.1055950733096385
375			5.2939852319550615
376			5.482889971559208
377			5.6409826898923665
378			5.746603133129008
379			5.810870987771922
380			5.851847830748194
381			5.887676199834163
382			5.937284716882377
383			6.0200440712349454
384			6.154958471081081
385			6.344687863769361
386			6.569487000032831
387			6.80798928399768
388			7.041789701857566
389			7.262963097590792
390			7.465901269889579
391			7.647941695315663
392			7.836650439712893
393			8.077344586645395
394			8.415164963041455
395			8.875418191772132
396			9.45492235093631
397			10.148290575641935
398			10.93964961909949
399			11.773819162989527
400			12.586410734558806
401			13.316644559111802
402			13.943602199782827
403			14.471123471809754
404			14.903657862284268
405			15.259318521306234
406			15.577048763211243
407			15.897543621264383
408			16.252811791679925
409			16.639880702875903
410			17.046973086504718
411			17.46267904347939
412			17.880037909567978
413			18.29504662458603
414			18.70375481200067
415			19.10216476036505
416			19.486201217913266
417			19.851781750220443
418			20.197746862155228
419			20.535750869831467
420			20.88095846356885
421			21.246236029287125
422			21.613342039156155
423			21.941663297233823
424			22.190489567921897
425			22.35468072877501
426			22.492453280607453
427			22.668562813951624
428			22.93996970978873
429			23.325967958495617
430			23.834489847256435
431			24.472391465119106
432			25.229954323227584
433			26.084436602229978
434			27.012739428292555
435			27.99096144526856
436			28.993629224279676
437			29.99508681222575
438			30.97687192130596
439			31.95929957958748
440			32.975692798732936
441			34.05794346267074
442			35.21201867691865
443			36.421427949470505
444			37.66892663689433
445			38.935088815799816
446			40.195736166230944
447			41.426064691297725
448			42.604027620468976
449			43.724357707600014
450			44.78809997906861
451			45.79633699026664
452			46.75071305352196
453			47.65341345144318
454			48.5066601064121
455			49.317632935045815
456			50.105656605963055
457			50.89188113374778
458			51.69323265844196
459			52.49726357040924
460			53.27904908052097
461			54.014166331141055
462			54.69268616938778
463			55.32031600739379
464			55.90354869597033
465			56.45577144197499
466			57.009560045950884
467			57.60080210423591
468			58.26184866231779
469			58.99658819352168
470			59.79518185030726
471			60.647724568246545
472			61.545063058007216
473			62.478959327636936
474			63.441228677554165
475			64.41765305821572
476			65.37474169638521
477			66.27516375970752
478			67.08231552094816
479			67.76645878214356
480			68.30163168716027
481			68.6626687081616
482			68.85847117283863
483			68.94507824757345
484			68.9819871849708
485			69.02910813488897
486			69.14787879386205
487			69.40009003119779
488			69.84084710528097
489			70.4500586843321
490			71.16029155002049
491			71.90356542785698
492			72.62404257310237
493			73.28511126256515
494			73.85186189458359
495			74.289384867496
496			74.56277057964066
497			74.63710942935592
498			nan
499			nan
500			nan
