Nom de l'instrument : SAM_8467
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_8467.dat
Date : 2024-11-12
Heure : 10:35:32

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			nan
318			nan
319			nan
320			320.4628663994632
321			345.5247460195079
322			374.0138341542899
323			404.1832410627278
324			434.28607700374033
325			462.5754522362461
326			487.304477019164
327			507.1092933416144
328			522.6926613524275
329			535.4512052506421
330			546.7233060868497
331			556.8802820658616
332			565.501308045014
333			572.146887339596
334			576.9344903507938
335			581.0594885311988
336			585.8405669413755
337			592.3133193796825
338			600.0968574279459
339			608.3681742264887
340			616.3363416678642
341			623.6938597889771
342			630.5060060089061
343			636.8499438289322
344			643.023933459452
345			649.7299967946674
346			657.7131564579498
347			667.5033329879851
348			678.6157183429866
349			690.2665637763347
350			701.6664607696603
351			711.9473968268926
352			720.1835226571253
353			725.4568049175772
354			727.62748952916
355			727.9162182955399
356			727.6807208758573
357			728.3652573343286
358			731.804860562588
359			739.944822948313
360			754.5698563584373
361			775.3259406135492
362			800.3380794885951
363			827.694824535568
364			855.1802436291877
365			880.0622237512515
366			899.5586443440347
367			911.5405344431068
368			916.742980688357
369			916.6858839775457
370			912.936228390865
371			907.6684467347199
372			903.479572616125
373			902.9495826428337
374			906.7811080834381
375			912.5522655939271
376			917.5456450753516
377			919.335754006187
378			916.7565311023376
379			908.9814876156307
380			895.4206722243472
381			878.4915220714196
382			862.6815428181953
383			852.4889202950077
384			850.2478121900932
385			854.7163786175261
386			864.3177047913632
387			877.2976567598774
388			891.1405694956151
389			903.1262683258516
390			910.8532481246981
391			915.9711166115294
392			922.9176612226973
393			936.1719009699439
394			959.2166045087012
395			993.8828827111054
396			1041.8464200820174
397			1103.4696313453017
398			1173.4302582326463
399			1244.8682559303415
400			1311.1461270125044
401			1368.494476312279
402			1415.136933314128
403			1449.3658158314443
404			1471.6128758354942
405			1485.9026569015782
406			1496.6035227522987
407			1507.4287075076668
408			1519.2049913921683
409			1531.964446100989
410			1545.6788126413421
411			1559.5219992673412
412			1572.1031653746936
413			1582.027574223199
414			1588.5462925803886
415			1592.0186309162698
416			1592.9129720776739
417			1591.744294384516
418			1589.238527960844
419			1586.1812721023332
420			1583.2477280607854
421			1579.5956239921422
422			1573.2796992878054
423			1562.3479780315781
424			1546.4453979361895
425			1528.0398564133304
426			1509.887832456678
427			1494.6035948128804
428			1484.134142312227
429			1480.230934544548
430			1484.5199145961963
431			1496.8147777997901
432			1515.5668944818683
433			1539.192536368595
434			1565.9198336737818
435			1593.631806707792
