Nom de l'instrument : SAM_877E
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_877E.dat
Date : 2023-10-10
Heure : 12:20:49

l_onde		data
280			2.7964085454653853
281			2.9174848525425823
282			3.057992389323393
283			3.215924226556921
284			3.380247337862895
285			3.5322511718632574
286			3.665451157445303
287			3.7899399077553912
288			3.9090749194031886
289			4.010258067362535
290			4.086673664150357
291			4.155814015238597
292			4.241211164797397
293			4.372718298016145
294			4.572102317733325
295			4.7792258735207325
296			4.904187760908412
297			4.998854957124249
298			5.217472181476905
299			5.650510019307228
300			6.315676884086913
301			7.246209206206802
302			8.507261274141815
303			10.173753388439232
304			12.337708513535523
305			15.07397241833328
306			18.37896744002027
307			22.244467638886185
308			26.754675339439576
309			32.015428644301686
310			37.98687097609172
311			44.53698873536936
312			51.4180955335415
313			58.287766988311226
314			65.03879616219498
315			71.87446481951686
316			78.8930547067139
317			85.94671497628876
318			92.85432365680701
319			99.42045106160286
320			105.59177055195237
321			111.99136833715858
322			119.37660783112892
323			128.03708857121913
324			138.02945612948145
325			149.12821105723782
326			160.88938969559266
327			172.2037978613572
328			181.32707499092314
329			187.67434591120917
330			192.39914904911382
331			196.19054244273096
332			198.41693116976978
333			198.73959028338345
334			198.38514692132514
335			198.74123508179812
336			200.33215720964552
337			203.34812468616292
338			207.53109667784088
339			212.3804951696659
340			217.08763795008085
341			220.6495233971777
342			222.80825954576417
343			224.106031311131
344			225.1544050425886
345			226.61208936787946
346			229.0215990595923
347			232.6461725130424
348			237.58373980155267
349			243.48828933042844
350			249.93510967817605
351			256.60388402170133
352			263.07881655634907
353			267.8234060255064
354			268.8971714298375
355			266.72087148593397
356			263.4620798068505
357			260.83647134482806
358			260.0221871728645
359			262.03681623454037
360			267.6845614414383
361			277.0790581522202
362			288.7723706247281
363			301.2821376145634
364			313.78061442224185
365			325.54049664912446
366			335.6052307174005
367			342.9603902793809
368			346.7457677799605
369			346.27343783965875
370			342.1645113813913
371			336.0054526567701
372			329.835538403134
373			326.13033874604224
374			326.58448812619184
375			331.67836928259203
376			340.4995840673052
377			349.2946372302043
378			354.2383750160366
379			352.5078319056862
380			342.63603423618173
381			328.85530254278194
382			316.7678579369569
383			309.0105384857485
384			306.77713696948484
385			310.2563227563505
386			318.9057420725683
387			330.7747356570523
388			342.59103842242456
389			351.52073191024016
390			355.41314250856453
391			353.77989642200805
392			349.3056974703808
393			345.39048701097914
394			346.4303724493368
395			356.25594559445125
396			375.4910408391065
397			403.57961283817275
398			437.91064212875864
399			474.94165695287415
400			510.01594296462116
401			538.0204007797979
402			556.9881277733613
403			567.6059941744837
404			572.0106859700677
405			573.9311789656083
406			576.0616321339126
407			579.217697163856
408			583.8590369327987
409			590.0175487913596
410			597.4712580798459
411			605.323677026064
412			612.5903412212923
413			618.6066000796696
414			622.8613156031457
415			625.2310183355748
416			625.8114164339935
417			625.1317389628312
418			624.0053449448018
419			623.0509638127819
420			622.6826697691408
421			622.75410945833
422			622.3777628525486
423			620.8287934330104
424			617.7912681176825
425			612.8402365393473
426			605.1266762325196
427			594.5399598609681
428			584.2176913752215
429			577.8282046947983
430			577.3656874306846
431			583.981857445251
432			596.7842814269925
433			613.7062362574637
434			631.2408209036819
435			644.9656296993495
436			653.8954586225123
437			660.6040943557974
438			667.2500541467574
439			675.1540141930665
440			684.9289174229306
441			695.8861879564482
442			707.1061803268674
443			717.4553023689967
444			726.178483725412
445			734.2724715557587
446			743.0197703243824
447			752.6325094499457
448			762.7782308801903
449			771.8527314742275
450			777.7091715005066
451			780.2297840371845
452			780.8182067811784
453			780.756902320857
454			781.1527166288384
455			782.5465946137134
456			784.6782745640108
457			787.201101148501
458			789.7195953853961
459			791.9710294204814
460			794.0848364520175
461			796.0307274063928
462			796.8489099308915
463			795.6024370643039
464			792.8775407902187
465			789.7615557759129
466			786.8767247351342
467			784.6091331258845
468			783.3800762565369
469			783.6133907543742
470			785.2096903394605
471			787.5634191888131
472			790.2211471155953
473			792.9612878666085
474			795.6407466648494
475			798.2312398736811
476			800.7616887795787
477			803.3761272525293
478			806.0558067821769
479			808.1242337571537
480			808.6828887438986
481			806.4561994219022
482			800.2801863389554
483			790.7420760333797
484			779.3215643791345
485			768.5917325265239
486			761.6923722905972
487			759.74646151087
488			762.1247737830108
489			767.4760474307802
490			773.6885036433889
491			779.3093598207591
492			783.9915786413407
493			787.5488752071141
494			789.9323891800389
495			791.045216371484
496			790.5921108606246
497			788.2407021510634
498			783.6586197464021
499			nan
500			nan
