Nom de l'instrument : SAM_80E0
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_80E0.dat
Date : 2017-07-01
Heure : 13:19:50
InclX : 
InclY : 
Pressure : 
Comment : test
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			33.4302190822267
318			31.79939248579382
319			30.391267889520982
320			29.172051420277082
321			28.107949204930975
322			27.165167370351533
323			26.30991204340764
324			25.510423807378853
325			24.785985937420453
326			24.20940360371709
327			23.855859811417808
328			23.739606033187403
329			23.721191836938807
330			23.637306750827932
331			23.354733863938286
332			22.94196208907413
333			22.550375042690764
334			22.32630903470569
335			22.296511195663307
336			22.369432768847368
337			22.448594782276935
338			22.470320565392335
339			22.449032975220476
340			22.41052821071273
341			22.379820257439007
342			22.376972697393924
343			22.420118220051915
344			22.526632478637644
345			22.698140835848022
346			22.921339393076618
347			23.182342546121703
348			23.468826646106073
349			23.772038606434013
350			24.083722017499287
351			24.39798988340179
352			24.723377998341032
353			25.07384902585753
354			25.462886957142103
355			25.894228766468043
356			26.36262596208443
357			26.8626301510903
358			27.41755231454574
359			28.114836630486874
360			29.050599843162214
361			30.302688975305006
362			31.840134577563244
363			33.59184437580461
364			35.48735099006344
365			37.46960267067014
366			39.49374627328818
367			41.51554364317384
368			43.52533789676199
369			45.58982870071916
370			47.78592458205831
371			50.19043009080919
372			52.87953398076022
373			55.929199150802646
374			59.40656849748852
375			63.20697240054732
376			67.06958541677578
377			70.72841243190096
378			74.02246743905329
379			77.02357603743066
380			79.83483702931564
381			82.57306772747137
382			85.43710257776954
383			88.65612395712101
384			92.44818247950356
385			96.809045890823
386			101.53000417505298
387			106.39482303621227
388			111.20681784493955
389			115.81340040895702
390			120.06802395080653
391			123.90243956397367
392			127.72772023270451
393			132.13624788086773
394			137.707706633361
395			144.75184018585068
396			153.32410092601023
397			163.4692063009594
398			175.0186486541395
399			187.30849368497684
400			199.6046103172392
401			211.21558207901248
402			221.72137097196685
403			230.80816678253552
404			238.18309932440994
405			244.00845669187547
406			248.8904321131678
407			253.4530432795332
408			258.12437395122157
409			262.8580247896371
410			267.5371811240092
411			272.04922909600725
412			276.30960895636093
413			280.2452524731194
414			283.78245652788274
415			286.8315557747189
416			289.2866037418695
417			291.041139104937
418			292.08205865636796
419			292.63451851397656
420			292.9611351367576
421			293.27133888490573
422			293.396628159126
423			293.00486166611313
424			291.775225535696
425			289.7030035564432
426			287.123843082431
427			284.3902570930211
428			281.86785514730553
429			279.9578423513042
430			279.06741388743654
431			279.5490277761314
432			281.3364106144963
433			284.16991244603463
