Nom de l'instrument : SAM_80E0
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_80E0.dat
Date : 2017-07-01
Heure : 15:59:29
InclX : 
InclY : 
Pressure : 
Comment : J1-2
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			351.84685931379016
318			344.6710266483527
319			340.18810750227436
320			338.0233493252479
321			337.80199956696606
322			339.1493056771217
323			341.69051510540754
324			345.05493608890487
325			348.97375838860614
326			353.28500179401124
327			357.8313085250993
328			362.28436047616634
329			365.8845861883886
330			367.8054682391473
331			367.4569493016273
332			365.833875162206
333			364.5824365781704
334			365.29263797172126
335			368.2420256150593
336			372.40988115342947
337			376.72127937905924
338			380.4325200510532
339			383.58852178503423
340			386.34904680939013
341			388.91732400952344
342			391.7716702447856
343			395.4976997500242
344			400.65382458039807
345			407.2240930864129
346			414.6481302750919
347			422.34430770832574
348			429.77835304511893
349			436.52424793324246
350			442.1710325073383
351			446.37417851341326
352			449.1935316504949
353			450.84109157622714
354			451.53473096226105
355			451.6040087579317
356			451.48144395275796
357			451.6039019792394
358			452.5135442853895
359			454.9873416760898
360			459.83401761772603
361			467.6503687173831
362			477.77093188377177
363			489.06482345338054
364			500.4041626603603
365			510.73391498964224
366			519.0652837877894
367			524.4149455131569
368			526.4190078733548
369			526.0813025400602
370			524.588525692307
371			523.0787284857381
372			522.4018654064799
373			523.3022260481165
374			526.4643213839406
375			531.4112624778192
376			536.610594932124
377			540.4941776700246
378			542.0509731705286
379			541.5050765291157
380			539.2464961898485
381			535.8087431696162
382			532.5832692678487
383			531.2789810244353
384			533.5372320918276
385			539.6461754646361
386			548.6491563645637
387			559.5430224333393
388			571.2894618032735
389			582.7708564412516
390			592.8587230045136
391			600.8445190147976
392			608.5904851677933
393			618.9312900416926
394			634.6371984930182
395			657.1072763842445
396			686.4488824159826
397			722.7155264405005
398			765.052392450309
399			810.4941773301239
400			855.7765440071095
401			897.8348661491705
402			934.8733386352609
403			965.592820890825
404			988.7823242115516
405			1005.1444222407569
406			1017.2479408387615
407			1027.7367605863715
408			1038.4683643272638
409			1049.395856049752
410			1060.1897217310684
411			1070.5155598607912
412			1080.0063290252417
413			1088.2816178615185
414			1094.962500642933
415			1099.7064309352056
416			1102.207968393164
417			1102.164079853024
418			1099.5861477252479
419			1095.2879746611688
420			1090.2095238976385
421			1085.1052590719153
422			1079.411513167956
423			1071.993885493042
424			1061.757235412227
425			1048.7023724022054
426			1034.010188984593
427			1018.9200478780041
428			1004.7134765077366
429			992.7866028914767
430			984.5548402205662
431			981.2411723627793
