Nom de l'instrument : SAM_80E0
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_80E0.dat
Date : 2017-07-02
Heure : 18:04:16
InclX : 
InclY : 
Pressure : 
Comment : J2-5_pont mahury
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			194.2542129316415
318			190.50287532631592
319			188.284427546983
320			187.36377769944673
321			187.50583388951065
322			188.4755042229786
323			190.0376968056544
324			191.96117096532603
325			194.11130974511806
326			196.4548130301854
327			198.96285967086152
328			201.482404706768
329			203.54704430497733
330			204.64173011400982
331			204.39101107870042
332			203.35510433250812
333			202.47875699310808
334			202.67515119988542
335			204.1188527855617
336			206.2537990109432
337			208.49340791898044
338			210.43371286182182
339			212.1055389214779
340			213.60302827242398
341			215.03648491678877
342			216.6184964167863
343			218.60154578115265
344			221.22723046069004
345			224.50744839899141
346			228.23637178034775
347			232.19946674811462
348			236.1521634048921
349			239.78123076385728
350			242.76388685419724
351			244.83323001419242
352			246.06250600621686
353			246.65294800801183
354			246.80503147505175
355			246.6994885348412
356			246.49885056647312
357			246.36542808476335
358			246.55871428718035
359			247.5549190541663
360			249.85955830221076
361			253.8535059367304
362			259.17525432726296
363			265.1895648197852
364			271.26273424103545
365			276.7994066860614
366			281.2390947712828
367			284.02428449364174
368			284.94220299669644
369			284.54127687623475
370			283.47170499093477
371			282.3593991463793
372			281.68643281441655
373			281.8821240424632
374			283.34234768480025
375			285.8130444854564
376			288.4494473767388
377			290.3867897989306
378			291.0661391680322
379			290.60661550745516
380			289.2184205407541
381			287.19040523066997
382			285.2816308538376
383			284.4251456288771
384			285.51623732245423
385			288.69389805222346
386			293.4014044134942
387			299.05618363798806
388			305.0867379901995
389			310.94655069697745
390			316.0925274919797
391			320.1944083382079
392			324.2248563049777
393			329.6493798988131
394			337.9005506066093
395			349.70986188272315
396			365.1483723944496
397			384.2595084750868
398			406.5965929595529
399			430.5741975355813
400			454.44554475925213
401			476.572879846577
402			496.01110111221175
403			512.0862374557344
404			524.170601428818
405			532.6406808697212
406			538.8523120853713
407			544.2007012643843
408			549.6631757050029
409			555.2051069414123
410			560.6416879209395
411			565.7892869281164
412			570.4721214525051
413			574.5176241731197
414			577.7532172561951
415			580.0058410073926
416			581.1019442450413
417			580.868351060955
418			579.3016959035567
419			576.8319863694607
420			573.9573671826097
421			571.0772348534755
422			567.8892967922724
423			563.7874380232706
424			558.1865925906044
425			551.0890510607245
426			543.129550190786
427			534.9741508911783
428			527.3037882548851
429			520.8398243165351
430			516.3104242220999
431			514.3444881796494
432			514.8115538869959
