Nom de l'instrument : SAM_839E
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_839E.dat
Date : 2017-07-06
Heure : 17:37:08
InclX : -12
InclY : -2.72
Pressure : +INF
Comment : 
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			0.8111952047034702
318			0.7121467562660756
319			0.7219413048635894
320			0.7979476053467548
321			0.8975344125663154
322			0.9780704813730147
323			0.996924566617596
324			0.9144477490206558
325			0.7525338676001457
326			0.5909399959400987
327			0.5114988457707098
328			0.5578257485528008
329			0.6871628189499113
330			0.8448920833851907
331			0.9814916694976645
332			1.0779898790445233
333			1.1267478316249189
334			1.1209967048950438
335			1.0705315558346047
336			1.0001898055886216
337			0.9353133351226158
338			0.8930965838825509
339			0.8728922846142906
340			0.8716903467683851
341			0.8861981452673402
342			0.9114770364167679
343			0.9419939075169157
344			0.9720950284451364
345			0.9938686909919747
346			0.9973913171757551
347			0.9727328731286379
348			0.9216488567433669
349			0.871104501952083
350			0.8513463356882269
351			0.8854656873048006
352			0.9553089967653393
353			1.0279752402699724
354			1.0720205483008505
355			1.08362320066256
356			1.0834715387272613
357			1.093050256502056
358			1.1239159252735254
359			1.1661911617914524
360			1.207206392055959
361			1.2371444035300787
362			1.2627349211265437
363			1.296659776087315
364			1.3508036715789475
365			1.4217310531534153
366			1.492274904689418
367			1.5448219945667276
368			1.5695678030254407
369			1.57383136853229
370			1.5672030606398748
371			1.5590764538994915
372			1.5576774933441484
373			1.5708031428586626
374			1.6056811230736243
375			1.6582835732049384
376			1.7142548119553025
377			1.7588879533261141
378			1.7845258070845347
379			1.7994378299197735
380			1.814079457749065
381			1.837240379189721
382			1.8674449487203448
383			1.8993105528664127
384			1.9278620137693192
385			1.9568647320999553
386			1.9983991351288206
387			2.064839996999025
388			2.1587144538039627
389			2.2593159777025766
390			2.3425889521556797
391			2.3898316958471133
392			2.4171232138723413
393			2.454436812286462
394			2.530929698425347
395			2.656218171568073
396			2.8204149661571027
397			3.0127879824638546
398			3.2226914609652226
399			3.439695161465812
400			3.6534019166619136
401			3.8540806626884283
402			4.036627664725439
403			4.197902899477183
404			4.334980299317574
405			4.450219196708128
406			4.551575712011002
407			4.6472751539545
408			4.745555451798985
409			4.854688285405427
410			4.982950916517116
411			5.135856158550828
412			5.2980904490966525
413			5.444848794663372
414			5.552025092957063
415			5.617360668242592
416			5.663399773050474
417			5.714020420829809
418			5.785148183381819
419			5.869647756760065
420			5.956227520933568
421			6.034473582397227
422			6.1012437719956765
423			6.156989724859556
424			6.202250191541037
